time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2009-09-29T17:48:10.990Z,-15.489,-172.095,18,8.1,mwc,520,20.8,,1.01,pde,pde20090929174810990_18,2014-04-09T20:38:16.436Z,"Samoa Islands region",earthquake
2009-09-02T07:55:01.050Z,-7.782,107.297,46,7,mwc,312,16.3,,0.89,pde,pde20090902075501050_46,2014-03-18T11:45:49.193Z,"Java, Indonesia",earthquake
2009-08-10T19:55:38.730Z,14.099,92.902,24,7.5,mwc,303,18.2,,1.03,pde,pde20090810195538730_24,2014-04-09T20:31:50.059Z,"Andaman Islands, India region",earthquake
2009-08-09T10:55:55.110Z,33.167,137.944,292,7.1,mwc,447,14.2,,0.91,pde,pde20090809105555110_292,2014-04-09T20:31:42.198Z,"near the south coast of Honshu, Japan",earthquake
2009-07-15T09:22:29.030Z,-45.762,166.562,12,7.8,mwc,434,16.8,,,pde,pde20090715092229030_12,2014-04-09T20:28:18.719Z,"off the west coast of the South Island of New Zealand",earthquake
2009-05-28T08:24:46.560Z,16.731,-86.217,19,7.3,mwc,464,27.2,,1.12,pde,pde20090528082446560_19,2014-08-08T15:41:12.182Z,"offshore Honduras",earthquake
2009-03-19T18:17:40.470Z,-23.043,-174.66,31,7.6,mwc,504,14,,1,pde,pde20090319181740470_31,2014-04-09T19:47:23.916Z,"Tonga region",earthquake
2009-02-18T21:53:45.160Z,-27.424,-176.33,25,7,mwc,353,18.5,,0.95,pde,pde20090218215345160_25,2014-04-09T19:31:47.682Z,"Kermadec Islands region",earthquake
2009-02-11T17:34:50.490Z,3.886,126.387,20,7.2,mwc,432,18.6,,1.14,pde,pde20090211173450490_20,2014-04-09T19:25:34.594Z,"Kepulauan Talaud, Indonesia",earthquake
2009-01-15T17:49:39.070Z,46.857,155.154,36,7.4,mwc,522,15.6,,0.91,pde,pde20090115174939070_36,2014-04-09T18:25:26.812Z,"east of the Kuril Islands",earthquake
2009-01-03T22:33:40.290Z,-0.691,133.305,23,7.4,mwc,314,21.1,,1.03,pde,pde20090103223340290_23,2014-04-09T18:19:28.857Z,"near the north coast of Papua, Indonesia",earthquake
2009-01-03T19:43:50.650Z,-0.414,132.885,17,7.7,mwc,288,29.8,,1.27,pde,pde20090103194350650_17,2014-04-09T18:19:11.257Z,"near the north coast of Papua, Indonesia",earthquake
2008-11-24T09:02:58.760Z,54.203,154.322,492.3,7.3,mwc,531,22.7,,0.77,pde,pde20081124090258760_492,2014-08-08T13:27:40.740Z,"Sea of Okhotsk",earthquake
2008-11-16T17:02:32.700Z,1.271,122.091,30,7.4,mww,365,33.7,,1.1,pde,pde20081116170232700_30,2014-08-08T12:41:54.012Z,"Minahasa, Sulawesi, Indonesia",earthquake
2008-09-29T15:19:31.590Z,-29.756,-177.683,36,7,mwc,524,17.4,,1.21,pde,pde20080929151931590_36,2014-04-09T18:02:38.223Z,"Kermadec Islands, New Zealand",earthquake
2008-07-19T02:39:28.700Z,37.552,142.214,22,7,mwc,577,18.2,,0.84,pde,pde20080719023928700_22,2014-03-18T11:17:52.593Z,"off the east coast of Honshu, Japan",earthquake
2008-07-05T02:12:04.480Z,53.882,152.886,632.8,7.7,mwc,777,13.5,,0.83,pde,pde20080705021204480_632,2014-08-08T08:53:10.064Z,"Sea of Okhotsk",earthquake
2008-06-30T06:17:43.020Z,-58.227,-22.099,8,7,mwc,309,25.4,,1.36,pde,pde20080630061743020_8,2013-03-16T01:41:26.418Z,"South Sandwich Islands region",earthquake
2008-05-12T06:28:01.570Z,31.002,103.322,19,7.9,mwc,774,11.3,,1.2,pde,pde20080512062801570_19,2014-08-09T00:13:53.493Z,"eastern Sichuan, China",earthquake
2008-04-12T00:30:12.600Z,-55.664,158.453,16,7.1,mwc,541,34.9,,0.99,pde,pde20080412003012600_16,2013-03-16T01:40:08.467Z,"Macquarie Island region",earthquake
2008-04-09T12:46:12.720Z,-20.071,168.892,33,7.3,mwc,486,13.4,,1.29,pde,pde20080409124612720_33,2014-03-18T11:08:50.089Z,"Loyalty Islands, New Caledonia",earthquake
2008-03-20T22:32:57.930Z,35.49,81.467,10,7.2,mwc,532,25.9,,1.03,pde,pde20080320223257930_10,2014-08-08T14:00:06.232Z,"Xinjiang-Xizang border region",earthquake
2008-02-25T08:36:33.030Z,-2.486,99.972,25,7.2,mwc,505,18.4,,1.22,pde,pde20080225083633030_25,2014-04-09T17:17:56.174Z,"Kepulauan Mentawai region, Indonesia",earthquake
2008-02-20T08:08:30.520Z,2.768,95.964,26,7.4,mwc,607,16.4,,0.97,pde,pde20080220080830520_26,2014-08-08T01:53:04.948Z,"Simeulue, Indonesia",earthquake
2007-12-19T09:30:27.930Z,51.36,-179.509,34,7.2,mwc,702,15.9,,0.96,pde,pde20071219093027930_34,2014-08-08T13:13:23.035Z,"Andreanof Islands, Aleutian Islands, Alaska",earthquake
2007-12-09T07:28:20.820Z,-25.996,-177.514,152.5,7.8,mwc,512,11.8,,1.12,pde,pde20071209072820820_152,2014-08-08T23:04:44.505Z,"south of the Fiji Islands",earthquake
