time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type
2015-11-19T03:34:05.520Z,36.2909,-97.6827,5,3,mb_lg,,38,0.323,0.84,us,us10003zf1,2015-11-19T11:37:01.649Z,"19km E of Waukomis, Oklahoma",earthquake
2015-11-18T18:42:09.300Z,35.7979,-97.2549,5,2.6,mb_lg,,51,0.162,0.61,us,us10003zcq,2015-11-19T02:45:00.050Z,"16km S of Langston, Oklahoma",earthquake
2015-11-18T17:46:29.420Z,35.8099,-97.2662,5,3,mb_lg,,55,0.153,0.32,us,us10003zcg,2015-11-20T23:03:46.735Z,"15km S of Langston, Oklahoma",earthquake
2015-11-18T12:08:40.140Z,36.1263,-97.6369,5.2,3.7,mb_lg,,69,0.36,0.43,us,us10003z86,2015-11-19T12:34:57.154Z,"19km N of Crescent, Oklahoma",earthquake
2015-11-18T11:45:27.930Z,37.1573333,-97.824,4.61,2.06,ml,21,60,0.0521,0.06,ismpkansas,ismpkansas70154583,2015-11-18T22:47:36.057Z,"18km E of Anthony, Kansas",earthquake
2015-11-18T03:22:42.140Z,36.7595,-97.7605,6.72,2.9,mb_lg,,39,0.121,0.21,us,us10003z71,2015-11-18T03:42:09.805Z,"5km SSW of Medford, Oklahoma",earthquake
2015-11-18T00:05:14.320Z,37.0493,-97.918,1.84,2.2,ml,,74,0.07,0.44,us,us10003z5n,2015-11-25T01:30:12.146Z,"15km SE of Anthony, Kansas",earthquake
2015-11-17T18:34:24.900Z,36.9342,-98.1252,5,2.5,ml,,135,,0.63,us,us10003z01,2015-11-18T16:15:32.953Z,"25km SSW of Anthony, Kansas",earthquake
2015-11-17T16:50:49.800Z,36.3686,-97.1309,3.339,3.1,ml,,52,,0.35,us,us10003yzr,2015-11-18T00:53:28.562Z,"16km ENE of Perry, Oklahoma",earthquake
2015-11-17T15:05:17.000Z,36.4223,-98.2304,5.548,2.6,ml,,83,,0.42,us,us10003yz9,2015-11-17T18:23:53.272Z,"14km SSE of Helena, Oklahoma",earthquake
2015-11-17T07:23:35.600Z,36.0807,-96.873,5.63,2.7,ml,,41,,0.69,us,us10003z5k,2015-12-01T10:47:20.803Z,"14km NW of Cushing, Oklahoma",earthquake
2015-11-16T16:00:03.710Z,37.159,-97.8256667,4.34,2.29,ml,19,61,0.05358,0.05,ismpkansas,ismpkansas70154253,2015-11-16T19:04:46.730Z,"18km E of Anthony, Kansas",earthquake
2015-11-16T15:22:43.500Z,36.477,-98.2314,4.849,2.6,ml,,88,,0.26,us,us10003yp5,2015-11-17T15:35:21.835Z,"8km SSE of Helena, Oklahoma",earthquake
2015-11-16T07:43:48.620Z,36.4351,-98.7303,5,2.6,mb_lg,,86,0.225,0.74,us,us10003ylr,2015-11-17T03:03:16.900Z,"29km NW of Fairview, Oklahoma",earthquake
2015-11-15T09:45:31.300Z,36.4696,-98.7549,5.109,4.3,mwr,,115,,0.8,us,us10003yhc,2015-12-01T19:04:45.169Z,"33km NW of Fairview, Oklahoma",earthquake
2015-11-15T03:10:41.610Z,37.0223333,-97.9448333,6.05,2,ml,21,86,0.06699,0.04,ismpkansas,ismpkansas70154038,2015-11-16T18:48:59.812Z,"16km SSE of Anthony, Kansas",earthquake
2015-11-14T23:43:12.200Z,36.7996,-98.6762,2.885,2.8,ml,,147,,0.41,us,us10003yf2,2015-11-19T08:21:23.660Z,"1km SW of Alva, Oklahoma",earthquake
